업종명,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명
휴게음식점,에스프레소인뉴욕,"서울특별시 은평구 불광로 20 (대조동, 팜스퀘어 지상9층 E005호)",서울특별시 은평구 대조동 240 팜스퀘어 지상9층 E005호,28.67,02- 350-8333,커피숍
휴게음식점,(주)퍼플라이프,"서울특별시 은평구 불광로 20 (대조동, 팜스퀘어 2BHC-001 (농협하나로클럽은평점내))",서울특별시 은평구 대조동 240 팜스퀘어 2BHC-001 (농협하나로클럽은평점내),6.6,,기타 휴게음식점
휴게음식점,이삭토스트,"서울특별시 은평구 갈현로 85, 1층 (역촌동)",서울특별시 은평구 역촌동 54-6 1층,25.4,02- 355-1339,패스트푸드
휴게음식점,토프레스,"서울특별시 은평구 은평로9길 3, 1층 (응암동)",서울특별시 은평구 응암동 89-38,20.74,,일반조리판매
휴게음식점,토스트다우,"서울특별시 은평구 은평로 92, 1층 (응암동)",서울특별시 은평구 응암동 111-40,23.94,,일반조리판매
휴게음식점,요거팜,"서울특별시 은평구 연서로29길 10, 1층 (갈현동)",서울특별시 은평구 갈현동 399-11 1층,17.11,,일반조리판매
휴게음식점,좋앗나,"서울특별시 은평구 불광로 20 (대조동, 팜스퀘어 지상9층 E004호)",서울특별시 은평구 대조동 240 팜스퀘어 지상9층 E004호,15.92,- 350-9932,패스트푸드
휴게음식점,도미노피자 가좌점,"서울특별시 은평구 증산로 303 (증산동, 태광아파트 1층 104, 106호)","서울특별시 은평구 증산동 249 태광아파트 1층 104, 106호",106.35,- 305-3082,패스트푸드
휴게음식점,배스킨라빈스응암역점,"서울특별시 은평구 은평로 65, 1층 (역촌동)",서울특별시 은평구 역촌동 85-48 1층,59.43,,일반조리판매
휴게음식점,피자스쿨,"서울특별시 은평구 진흥로 29, 1층 (역촌동)",서울특별시 은평구 역촌동 43-77 1층,25.16,,기타 휴게음식점
휴게음식점,크렘 마마,"서울특별시 은평구 서오릉로 134 (대조동, 지상1충)",서울특별시 은평구 대조동 226-3 지상1층,28.4,02- 385-2229,일반조리판매
휴게음식점,갈현동떡볶기,"서울특별시 은평구 연서로29길 24, 1층 (갈현동)",서울특별시 은평구 갈현동 431-5 1층,29.24,- 359-1643,일반조리판매
휴게음식점,종로김밥 역촌점,,서울특별시 은평구 역촌동 85-41 리더스파크상가110호(지상1층),36,,일반조리판매
휴게음식점,참죽&amp;나누미 떡볶이,"서울특별시 은평구 연서로 5, 1층 (역촌동)",서울특별시 은평구 역촌동 85-33 1층,37.99,,일반조리판매
휴게음식점,찡오랑,"서울특별시 은평구 통일로 830, 501호 (불광동)",서울특별시 은평구 불광동 304-2 501호,7.49,02- 356-6544,기타 휴게음식점
휴게음식점,로티보이 연신내점,"서울특별시 은평구 연서로29길 6, 1층 (갈현동)",서울특별시 은평구 갈현동 398-11 1층,28.51,,기타 휴게음식점
휴게음식점,비비드,"서울특별시 은평구 통일로 830, 5층 (불광동)",서울특별시 은평구 불광동 304-2,12.72,02- 357-2176,패스트푸드
휴게음식점,누들플러스,"서울특별시 은평구 서오릉로 139, 지하1층 B02호 (역촌동)",서울특별시 은평구 역촌동 1-1 지하1층 B02호,58.3,02- 359-0190,일반조리판매
휴게음식점,프렌즈,,서울특별시 은평구 역촌동 85-41 (지상1층),25.6,02- 383-6699,패스트푸드
휴게음식점,배스킨라빈스 불광역점,"서울특별시 은평구 통일로 721, 1층 (대조동)",서울특별시 은평구 대조동 14-14,100,,아이스크림
휴게음식점,피자명,"서울특별시 은평구 수색로16길 22-16, 1층 (수색동)",서울특별시 은평구 수색동 131-3 1층,34.05,,패스트푸드
휴게음식점,푸르타미나,"서울특별시 은평구 불광로 20 (대조동,이천일아울렛 7층)",서울특별시 은평구 대조동 240 이천일아울렛 7층,14.8,,커피숍
휴게음식점,왕냉면.왕돈까스2900,"서울특별시 은평구 은평로 236, 1층 (응암동)",서울특별시 은평구 응암동 2-37,52.89,,일반조리판매
휴게음식점,뽁기랑 순대랑,"서울특별시 은평구 서오릉로11길 4, 1층 (구산동)",서울특별시 은평구 구산동 4-1 1층,25.6,,일반조리판매
휴게음식점,비피씨바질(BPC BASIL),"서울특별시 은평구 진관4로 48-17 (진관동,상림마을 709-109 지상1층)",서울특별시 은평구 진관동 12 상림마을 709-109 지상1층,57.45,,기타 휴게음식점
휴게음식점,씨유 서오능점,"서울특별시 은평구 서오릉로 217 (구산동, 1층)",서울특별시 은평구 구산동 339-26 1층,5.4,02- 353-0896,편의점
휴게음식점,바리스커피,,서울특별시 은평구 증산동 223-27 1층 5호,19.8,02- 306-1455,커피숍
휴게음식점,은혜분식,"서울특별시 은평구 역말로9길 41 (대조동,지상1층)",서울특별시 은평구 대조동 206-27 지상1층,15.93,02- 359-0262,기타 휴게음식점
휴게음식점,깐따삐야,"서울특별시 은평구 역말로9길 41 (대조동,지상1층)",서울특별시 은평구 대조동 206-27 지상1층,16.2,02- 357-3889,기타 휴게음식점
휴게음식점,코스모스,"서울특별시 은평구 서오릉로10길 22 (대조동,(지상1층))",서울특별시 은평구 대조동 50-43 (지상1층),4,02- 355-5220,일반조리판매
휴게음식점,바오밥나무,"서울특별시 은평구 서오릉로4길 10 (녹번동, 성암교회2층)",서울특별시 은평구 녹번동 165-8 성암교회2층,96.7,02- 352-1184,커피숍
휴게음식점,냉면시대(원안면옥),"서울특별시 은평구 통일로78길 22-18, 102호 (불광동)",서울특별시 은평구 불광동 297-23 102호,23.1,02- 384-9923,일반조리판매
휴게음식점,까치네분식,"서울특별시 은평구 갈현로29길 5, 1층 (갈현동)",서울특별시 은평구 갈현동 503-1 1층,17.5,02-6081-7555,일반조리판매
휴게음식점,베스킨라빈스(Baskinrabbins),,서울특별시 은평구 수색동 76-14 (지상2층),28.95,,일반조리판매
휴게음식점,던킨도너츠 응암역점,"서울특별시 은평구 은평로 85 (응암동, CJ드림시티 A동 101호)",서울특별시 은평구 응암동 91-8 CJ드림시티 A동 101호,59.38,02- 352-2949,패스트푸드
휴게음식점,국수나무,,서울특별시 은평구 수색동 76-14 이마트수색점 4층,36,,일반조리판매
휴게음식점,헬로커피,"서울특별시 은평구 응암로21가길 30, 1층 (응암동)",서울특별시 은평구 응암동 119-3,21.2,,커피숍
휴게음식점,녹번분식,"서울특별시 은평구 은평로21길 12, 1층 (녹번동)",서울특별시 은평구 녹번동 43-20 1층,15,,일반조리판매
휴게음식점,사주카페,"서울특별시 은평구 은평로11길 12-14, 2층 (응암동)",서울특별시 은평구 응암동 85-51,44.6,,커피숍
휴게음식점,토스트하우스,"서울특별시 은평구 은평로3길 26 (역촌동, 1층)",서울특별시 은평구 역촌동 83-69 1층,35,,일반조리판매
휴게음식점,이디야이마트은평점,"서울특별시 은평구 은평로 111 (응암동,이마트8층 커피바코너)",서울특별시 은평구 응암동 90-1 이마트8층 커피바코너,31.81,02- 383-6884,커피숍
휴게음식점,씨유 은평등기소점,"서울특별시 은평구 백련산로 175 (응암동,(지상1층))",서울특별시 은평구 응암동 97-1 (지상1층),5.13,02- 351-4809,일반조리판매
휴게음식점,153 만나,"서울특별시 은평구 은평로8길 35, 1층 (응암동)",서울특별시 은평구 응암동 117-14,10.3,02- 352-4383,일반조리판매
휴게음식점,피자스쿨(갈현점),"서울특별시 은평구 갈현로 262, 1호 (갈현동)",서울특별시 은평구 갈현동 432-20 1호,53.06,,기타 휴게음식점
휴게음식점,피자스쿨 은평뉴타운2지구점,"서울특별시 은평구 진관2로 90, 321동 B103호 (진관동,은평뉴타운 마고정)",서울특별시 은평구 진관동 107 은평뉴타운 마고정 321동 B103호,33.74,,패스트푸드
휴게음식점,해봉,"서울특별시 은평구 연서로27길 26, 1층 (갈현동)",서울특별시 은평구 갈현동 452-16 1층,55.44,02- 352-9662,기타 휴게음식점
휴게음식점,신나는 푸드,"서울특별시 은평구 가좌로11길 18, 1층 (신사동)",서울특별시 은평구 신사동 237-261 1층,4.92,02- 307-7793,일반조리판매
휴게음식점,피자스쿨 독바위역점,"서울특별시 은평구 불광로 105, 1층 (불광동)",서울특별시 은평구 불광동 239-11,19.7,02- 353-8954,패스트푸드
휴게음식점,미니스톱 갈현세광점,"서울특별시 은평구 연서로17길 46-1 (갈현동, 외1필지 지상1층)",서울특별시 은평구 갈현동 497-13 외1필지 지상1층,1.8,,일반조리판매
휴게음식점,피자스쿨(은평신사점),"서울특별시 은평구 은평터널로 193-1, 1층 (신사동)",서울특별시 은평구 신사동 41-17 1층,24.64,,패스트푸드
휴게음식점,(주)보승식품,"서울특별시 은평구 은평로 111, 지하1층 (응암동)",서울특별시 은평구 응암동 90-1,9.92,031- 948-1559,일반조리판매
휴게음식점,죠스떡볶이 구산역점,"서울특별시 은평구 서오릉로 140 (대조동, 지상1층)",서울특별시 은평구 대조동 224-24 지상1층,32.1,,일반조리판매
휴게음식점,피자마루 역촌점,"서울특별시 은평구 진흥로1길 28, 1층 (역촌동)",서울특별시 은평구 역촌동 31-6 1층,39,02- 388-0079,일반조리판매
휴게음식점,SHINY(샤이니),"서울특별시 은평구 진흥로3길 13, 1층 (역촌동)",서울특별시 은평구 역촌동 42-26 1층,20,,커피숍
휴게음식점,집피씨클럽,"서울특별시 은평구 은평로10길 17, 3층 (응암동)",서울특별시 은평구 응암동 99-45,6,02- 388-8645,일반조리판매
휴게음식점,하늘pc,"서울특별시 은평구 통일로 855-20, 4층 (갈현동)",서울특별시 은평구 갈현동 396-9 4층,15.36,02- 385-8831,일반조리판매
휴게음식점,TNT ZONE(티엔티존),"서울특별시 은평구 응암로11길 3, 2층 (응암동)",서울특별시 은평구 응암동 598-18 2층,6,02- 374-4072,일반조리판매
휴게음식점,커피 스튜디오,"서울특별시 은평구 통일로 726, 1층 (불광동)",서울특별시 은평구 불광동 281-102,56,,커피숍
휴게음식점,맛있는 친구들,"서울특별시 은평구 통일로73길 8-1, 102호 (대조동,지상1층)",서울특별시 은평구 대조동 192-2 지상1층 102호,30,02- 388-3883,일반조리판매
휴게음식점,허브pc방,"서울특별시 은평구 통일로 822, 지하1층 (불광동)",서울특별시 은평구 불광동 302-16 외1필지  지하1층,8,070-8249-4814,일반조리판매
휴게음식점,T.G.O PC방,"서울특별시 은평구 응암로 168-1, 2층 (응암동)",서울특별시 은평구 응암동 603-63,0.72,02- 306-5369,일반조리판매
휴게음식점,인터쿨,"서울특별시 은평구 진흥로 112, 2층 (녹번동)",서울특별시 은평구 녹번동 144-1 2층,1.92,02- 385-6002,일반조리판매
휴게음식점,집PC클럽(증산점),"서울특별시 은평구 증산로7길 16, 지하1층 (증산동)",서울특별시 은평구 증산동 188-11 지하1층,4.76,02- 306-8601,일반조리판매
휴게음식점,사이버엑스,서울특별시 은평구 역말로 8 (역촌동),서울특별시 은평구 역촌동 55-1,3.75,02- 352-4510,일반조리판매
휴게음식점,연신만화,"서울특별시 은평구 통일로 855-9, 4층 (갈현동)",서울특별시 은평구 갈현동 398-6 4층,2,02- 358-1321,일반조리판매
휴게음식점,낙천주의자들,"서울특별시 은평구 연서로 175, 1,2층 (갈현동)",서울특별시 은평구 갈현동 462-54,31.5,,커피숍
휴게음식점,맛사랑,"서울특별시 은평구 증산서길 139, 1층 (증산동)",서울특별시 은평구 증산동 193-15 1층,12.3,,일반조리판매
휴게음식점,맛나분식,"서울특별시 은평구 수색로16길 18-8, 1층 (수색동)",서울특별시 은평구 수색동 132-6 1층,15,,일반조리판매
휴게음식점,씨유 뉴타운상림점,"서울특별시 은평구 진관4로 77 (진관동,(은평뉴타운 상림마을 702동 1층상가111호))",서울특별시 은평구 진관동 6 (은평뉴타운 상림마을 702동 1층상가111호),6.25,,일반조리판매
휴게음식점,피엠푸드 은평뉴타운2지구점,"서울특별시 은평구 진관2로 60 (진관동,은평뉴타운 323동 B112호 일부)",서울특별시 은평구 진관동 105 은평뉴타운 323동 B112호 일부,20.9,02- 358-1082,패스트푸드
휴게음식점,서부황토24시찜질방사우나,"서울특별시 은평구 불광천길 536 (응암동,(지하2층))",서울특별시 은평구 응암동 113-35 (지하2층),30.8,,일반조리판매
휴게음식점,베이스캠프(Base Camp),"서울특별시 은평구 대서문길 51 (진관동, 지상1층)",서울특별시 은평구 진관동 266-14 지상1층,8.04,,일반조리판매
휴게음식점,커피(coffee) 한,"서울특별시 은평구 진관3로 77, 922동 상가101호 (진관동)",서울특별시 은평구 진관동 25 922동 상가101호,43.59,,커피숍
휴게음식점,59쌀피자,"서울특별시 은평구 가좌로7길 12 (응암동,(1층))",서울특별시 은평구 응암동 752-22 (1층),39.6,,과자점
휴게음식점,햇살푸드시스템,"서울특별시 은평구 은평로 111 (응암동,(이마트은평점 지하1층))",서울특별시 은평구 응암동 90-1 (이마트은평점 지하1층),6,,일반조리판매
휴게음식점,씨유 북한산공원점,"서울특별시 은평구 대서문길 21 (진관동, 지상1층)",서울특별시 은평구 진관동 279-72 지상1층,8.4,02- 355-0350,일반조리판매
휴게음식점,테라피시방,"서울특별시 은평구 통일로83길 6-5, 지하1층 (갈현동)",서울특별시 은평구 갈현동 404-5,9,02- 354-0050,일반조리판매
휴게음식점,커피 가지고,"서울특별시 은평구 은평로 197-1, 1층 (녹번동)",서울특별시 은평구 녹번동 79-33 1층,34,,커피숍
휴게음식점,미니스톱 은평증산점,"서울특별시 은평구 증산서길 79 (증산동, (두산위브상가 101호))",서울특별시 은평구 증산동 255 (두산위브상가 101호),12.96,,일반조리판매
휴게음식점,샤인 커피숍,"서울특별시 은평구 통일로 855-14, 1층 (갈현동)",서울특별시 은평구 갈현동 396-16,159.2,02- 388-1403,커피숍
휴게음식점,모모 떡볶기,"서울특별시 은평구 통일로88길 12-3, 1층 (불광동)",서울특별시 은평구 불광동 484-133 1층,17.65,,일반조리판매
휴게음식점,북한산 휴게소,"서울특별시 은평구 대서문길 24 (진관동,(1층))",서울특별시 은평구 진관동 280 (1층),70,02- 386-5904,일반조리판매
휴게음식점,그때 그 만두,"서울특별시 은평구 불광로 14 (대조동,(지상1층))",서울특별시 은평구 대조동 14-5 (지상1층),12,,일반조리판매
휴게음식점,커피산책,"서울특별시 은평구 연서로48길 11 (진관동,제각말 514동 상가102호)",서울특별시 은평구 진관동 155 제각말 514동 상가102호,31.21,02- 385-3246,커피숍
휴게음식점,빛,"서울특별시 은평구 응암로14길 26-1, 1층 (응암동)",서울특별시 은평구 응암동 337-69 1층,45.62,,일반조리판매
휴게음식점,길모퉁이 까페 다락,"서울특별시 은평구 은평로3길 6, 1층 (역촌동)",서울특별시 은평구 역촌동 85-45 1층,28,,커피숍
휴게음식점,피자캣 굿모닝 점보피자 은평점,"서울특별시 은평구 진관2로 117 (진관동,1층)",서울특별시 은평구 진관동 90-1 1층,15,,패스트푸드
휴게음식점,북한산빈대떡,"서울특별시 은평구 불광로14길 22-1, 1층 (불광동)",서울특별시 은평구 불광동 16-146,16.5,02  -385 -6656,일반조리판매
휴게음식점,coffee song(커피송),"서울특별시 은평구 통일로78길 19, 1층 (불광동)",서울특별시 은평구 불광동 326-10,16.98,,커피숍
휴게음식점,(주)이훈의 에너지짐,"서울특별시 은평구 통일로 727-3 (대조동,(지하1층))",서울특별시 은평구 대조동 14-19 (지하1층),5.75,02- 354-1222,커피숍
휴게음식점,커피 엔,"서울특별시 은평구 은평터널로 51, 1층 (수색동)",서울특별시 은평구 수색동 415-2 1층,120,02- 303-7193,커피숍
휴게음식점,카페 정류장,,서울특별시 은평구 증산동 222-7 1층,48,,커피숍
휴게음식점,아이비스 PC,"서울특별시 은평구 진흥로 144, 지하1층 (녹번동)",서울특별시 은평구 녹번동 141-8 지하1층,6.6,02- 387-0401,일반조리판매
휴게음식점,롯데리아(구파발역점),"서울특별시 은평구 진관2로 15-40 (진관동,1층(2호))",서울특별시 은평구 진관동 70-1 1층(2호),161.38,,일반조리판매
휴게음식점,HONEYBEE COFFEE(허니비커피),"서울특별시 은평구 증산로21길 8-15, 1층 (신사동)",서울특별시 은평구 신사동 25-25 1층,24.36,02  -306 -6772,커피숍
휴게음식점,카페라또,"서울특별시 은평구 진관2로 90 (진관동,(은평뉴타운 마고정 319동 지하114호))",서울특별시 은평구 진관동 107 (은평뉴타운 마고정 319동 지하114호),31.04,,커피숍
휴게음식점,제노PC방,"서울특별시 은평구 연서로 320, 2층 (불광동)",서울특별시 은평구 불광동 105-82,6,,일반조리판매
휴게음식점,커피를 들다,"서울특별시 은평구 역말로 119 (대조동, 1층)",서울특별시 은평구 대조동 172-25 1층,86.93,,커피숍
휴게음식점,카페도우(카페 Thou),"서울특별시 은평구 증산로 399, 1층 (신사동)",서울특별시 은평구 신사동 336-2,22.84,,커피숍
휴게음식점,비단뜨락,"서울특별시 은평구 증산로15길 47, 2층 (신사동)",서울특별시 은평구 신사동 163-17,49.4,,커피숍
휴게음식점,커피에 반하다 은평뉴타운점,"서울특별시 은평구 진관2로 90 (진관동,은평뉴타운 마고정 322동101호)",서울특별시 은평구 진관동 107 은평뉴타운 마고정 322동101호,15.54,,커피숍
휴게음식점,홈벤또,"서울특별시 은평구 갈현로33길 14, 지층 2호 (갈현동)",서울특별시 은평구 갈현동 445-14 지층 2호,16,,일반조리판매
휴게음식점,씨유 역촌서부점,"서울특별시 은평구 갈현로11길 15 (역촌동,1층)",서울특별시 은평구 역촌동 71-11 1층,18,02  -352 -6558,일반조리판매
휴게음식점,Pasta be,"서울특별시 은평구 연서로13길 15 (구산동, 1층)",서울특별시 은평구 구산동 19-6 1층,47.19,070 -8251-3100,일반조리판매
휴게음식점,도미노 피자,"서울특별시 은평구 진관4로 17 (진관동,은평뉴타운 상림마을 820동 상가101호)",서울특별시 은평구 진관동 19 은평뉴타운 상림마을 820동 상가101호,76,,일반조리판매
휴게음식점,커피그림,"서울특별시 은평구 연서로4길 4, 1층 101호 (역촌동)",서울특별시 은평구 역촌동 36-22 1층 101호,50.8,02  -385 -3333,커피숍
휴게음식점,향기나는 실 이야기,"서울특별시 은평구 통일로72길 17-5, 1층 (불광동)",서울특별시 은평구 불광동 295-59,3.36,02  -6338-3527,커피숍
휴게음식점,김밥한끼,"서울특별시 은평구 통일로 796 (불광동, 북한산힐스테이트7차 단지내상가112호)",서울특별시 은평구 불광동 643 북한산힐스테이트7차 단지내상가112호,22.44,,일반조리판매
휴게음식점,씨유 불광중앙점,"서울특별시 은평구 통일로88길 12-3, 1층 (불광동)",서울특별시 은평구 불광동 484-133,5,02- 383-2988,일반조리판매
휴게음식점,베스킨라빈스 녹번역점,"서울특별시 은평구 은평로 235, 1층 (녹번동)",서울특별시 은평구 녹번동 266 1층,44.31,,기타 휴게음식점
휴게음식점,카페숨,"서울특별시 은평구 증산로15길 56, 1층 (신사동, (1호))",서울특별시 은평구 신사동 143-2 1층(1호),16.8,,일반조리판매
휴게음식점,산중다원,"서울특별시 은평구 의상봉길 31 (진관동,(1층))",서울특별시 은평구 진관동 303-21 (1층),98,,전통찻집
휴게음식점,프라임인 서울호텔,"서울특별시 은평구 통일로 816, 2층 (불광동)",서울특별시 은평구 불광동 302-13,189.5,02-3157-8000,커피숍
휴게음식점,카페속 작은 가게,"서울특별시 은평구 진관1로 55, 301동 상가B203호 (진관동)",서울특별시 은평구 진관동 106,85.58,,커피숍
휴게음식점,씨유 녹번초교점,"서울특별시 은평구 녹번로1길 23, 1층 (녹번동)",서울특별시 은평구 녹번동 170-1 1층,10,02  -383 -4818,일반조리판매
휴게음식점,씨유 신사2동점,"서울특별시 은평구 증산로15길 68, 1층 (신사동)",서울특별시 은평구 신사동 164-1,13.2,02- 306-0870,일반조리판매
휴게음식점,도토리 분식,"서울특별시 은평구 진흥로 267-16, 상가동 지1층 B103호 (불광동, 북한산래미안아파트)",서울특별시 은평구 불광동 638-1 북한산래미안아파트 지1층 상가동 B103호,9.72,,일반조리판매
휴게음식점,이삭토스트 NC백화점 불광점,"서울특별시 은평구 불광로 20, 9층 D10호 (대조동)",서울특별시 은평구 대조동 240 9층 D10호,9.9,,일반조리판매
휴게음식점,라면마차.COOK(쿡),"서울특별시 은평구 불광로 59, 1층 나-1호 (불광동)",서울특별시 은평구 불광동 276-32 1층 나-1호,13.2,,일반조리판매
휴게음식점,킹콩 PC 방,"서울특별시 은평구 갈현로 39-1, 2층 (신사동)",서울특별시 은평구 신사동 9-16 2층,22,,일반조리판매
휴게음식점,씨엘 PC방,"서울특별시 은평구 응암로13길 6, 3층 (응암동)",서울특별시 은평구 응암동 590-10 3층,25,02  -375 -6573,일반조리판매
휴게음식점,카페멘테,"서울특별시 은평구 통일로 951, 1층 (갈현동)",서울특별시 은평구 갈현동 1-29 1층,251.3,02  -387 -0691,커피숍
휴게음식점,Cafe 곰퀼트,"서울특별시 은평구 수색로 217, 1층 117호 (수색동, 수색자이상가 1단지)",서울특별시 은평구 수색동 75 수색자이상가 1단지 1층 117호,50.84,,커피숍
휴게음식점,The peak,"서울특별시 은평구 대서문길 23, 1층 (진관동)",서울특별시 은평구 진관동 279-50 1층,6.25,02  -388 -6460,커피숍
휴게음식점,카투라,"서울특별시 은평구 불광로 112, 1층 104호 (불광동)",서울특별시 은평구 불광동 11-14 1층 104호,38.99,02  -3157-3378,커피숍
휴게음식점,은혜김밥,"서울특별시 은평구 연서로34길 25, 1층 (불광동)",서울특별시 은평구 불광동 140-8 1층,10.68,,일반조리판매
휴게음식점,피자몰 불광점,"서울특별시 은평구 불광로 20, 지하1층 (대조동, A26,A27호)","서울특별시 은평구 대조동 240 지하1층 A26,A27호",40.3,,패스트푸드
휴게음식점,해야 일식,"서울특별시 은평구 불광로 20, 지하1층 A2호 (대조동)",서울특별시 은평구 대조동 240 지하1층 A2호,8.14,,일반조리판매
